handle,title,type,existing_thumbnail,type_image,purpose,prompt,output,alt_text,filename
calendar-booking,Booking,addon,,hero,Hero showing booking UI and calendar,"Photorealistic hero: close-up of hands scheduling on a calendar UI on a laptop, natural window light, calendar cells with teal accent #06b6d4, 3:2 aspect, JPG 2400x1600 + WebP 1200x800.","jpg:2400x1600|webp:1200x800","Booking integration — schedule appointments",calendar-booking-hero
calendar-booking,Booking,addon,,thumbnail,Thumbnail,"Thumbnail: small calendar card with a highlighted date, soft shadow, PNG 800x800 and WebP 400x400, brand accent #06b6d4.","png:800x800|webp:400x400","Booking thumbnail",calendar-booking-thumb
payment-integration,Payments,addon,,hero,Hero showing secure payment flow,"Photorealistic hero: close-up of a checkout card form on a laptop and a lock icon overlay, soft studio lighting, blue/teal accent #06b6d4 on the pay button, 3:2 aspect, JPG 2400x1600 + WebP 1200x800.","jpg:2400x1600|webp:1200x800","Payments integration — Stripe setup",payment-integration-hero
payment-integration,Payments,addon,,thumbnail,Thumbnail,"Thumbnail: credit card or chip icon on soft neutral background, PNG 800x800 and WebP 400x400, brand accent #06b6d4, minimal styling.","png:800x800|webp:400x400","Payments thumbnail",payment-integration-thumb
cms-integration,CMS,addon,,hero,Hero showing content editing,"Photorealistic hero: editor UI on screen with live preview and editable blocks, clean desk, soft natural light, accent #06b6d4 on UI elements, 3:2 aspect, JPG 2400x1600 + WebP 1200x800.","jpg:2400x1600|webp:1200x800","CMS integration — visual editor",cms-integration-hero
cms-integration,CMS,addon,,thumbnail,Thumbnail,"Thumbnail: small editor card with a pencil icon, neutral background, PNG 800x800 and WebP 400x400, brand accent #06b6d4.","png:800x800|webp:400x400","CMS thumbnail",cms-integration-thumb
automation-setup,Automation Setup,service,,hero,Hero showing workflow automation,"Photorealistic hero: multi-monitor desk showing a workflow diagram and integrations (API boxes and arrows), cool tones with teal accent #06b6d4, cinematic lighting, 3:2 aspect, JPG 2400x1600 + WebP 1200x800.","jpg:2400x1600|webp:1200x800","Automation setup — workflow integrations",automation-setup-hero
automation-setup,Automation Setup,service,,thumbnail,Thumbnail,"Thumbnail: simple flowchart card with arrows and nodes, PNG 800x800 and WebP 400x400, brand accent #06b6d4, minimal composition.","png:800x800|webp:400x400","Automation thumbnail",automation-setup-thumb
managed-ai,Managed AI,subscription,,hero,Hero for subscription service (AI agents),"Photorealistic hero: modern operations dashboard on a large monitor with chatbots and analytics widgets, soft studio lighting, teal accent #06b6d4 on key UI elements, 3:2 aspect, JPG 2400x1600 + WebP 1200x800.","jpg:2400x1600|webp:1200x800","Managed AI — AI agents and operations",managed-ai-hero
managed-ai,Managed AI,subscription,,thumbnail,Thumbnail,"Thumbnail: robot/agent icon with service label, neutral background, PNG 800x800 and WebP 400x400, brand accent #06b6d4.","png:800x800|webp:400x400","Managed AI thumbnail",managed-ai-thumb
